symbol,scale_factor,median_close_raw,median_close_scaled
ASHOKLEY,1.0,101.1500015258789,101.1500015258789
ASIANPAINT,10.0,2882.10009765625,288.210009765625
ASTERDM,1.0,404.75,404.75
ASTRAL,1.0,1799.300048828125,1799.300048828125
ASTRAZEN,10.0,6321.9501953125,632.19501953125
ATGL,1.0,712.7000122070312,712.7000122070312
ATHERENERG,1.0,344.75,344.75
ATUL,10.0,6839.60009765625,683.960009765625
AUBANK,1.0,672.0499877929688,672.0499877929688
AUROPHARMA,1.0,1094.050048828125,1094.050048828125
AWL,1.0,341.1000061035156,341.1000061035156
AXISBANK,1.0,1071.0,1071.0
BAJAJ-AUTO,10.0,8230.5,823.05
BAJAJFINSV,1.0,1623.449951171875,1623.449951171875
BAJAJHFL,1.0,121.38999938964844,121.38999938964844
BAJAJHLDNG,10.0,8611.849609375,861.1849609375
BAJFINANCE,1.0,722.9550170898438,722.9550170898438
BALKRISIND,10.0,2510.699951171875,251.0699951171875
BALRAMCHIN,1.0,432.20001220703125,432.20001220703125
BANDHANBNK,1.0,197.35000610351562,197.35000610351562
BANKBARODA,1.0,234.25,234.25
BANKINDIA,1.0,110.22000122070312,110.22000122070312
BASF,10.0,4286.35009765625,428.635009765625
BATAINDIA,1.0,1424.9000244140625,1424.9000244140625
BAYERCROP,10.0,5262.75,526.275
BBTC,1.0,1688.1500244140625,1688.1500244140625
BDL,1.0,1009.0,1009.0
BEL,1.0,252.4499969482422,252.4499969482422
BEML,1.0,1596.1500244140625,1596.1500244140625
BERGEPAINT,1.0,542.0499877929688,542.0499877929688
BHARATFORG,1.0,1171.9000244140625,1171.9000244140625
BHARTIARTL,1.0,1370.5999755859375,1370.5999755859375
BHARTIHEXA,1.0,1423.7999877929688,1423.7999877929688
BHEL,1.0,217.5399932861328,217.5399932861328
BIKAJI,1.0,580.3499755859375,580.3499755859375
BIOCON,1.0,307.95001220703125,307.95001220703125
BLS,1.0,345.1499938964844,345.1499938964844
BLUEDART,10.0,6622.0,662.2
BLUEJET,1.0,517.25,517.25
BLUESTARCO,1.0,1525.5999755859375,1525.5999755859375
BOSCHLTD,100.0,28689.25,286.8925
BPCL,1.0,289.04998779296875,289.04998779296875
BRIGADE,1.0,966.2000122070312,966.2000122070312
BRITANNIA,10.0,4968.89990234375,496.889990234375
BSE,1.0,864.0166625976562,864.0166625976562
BSOFT,1.0,493.45001220703125,493.45001220703125
CAMPUS,1.0,285.8500061035156,285.8500061035156
CAMS,1.0,660.52001953125,660.52001953125
CANBK,1.0,97.48999786376953,97.48999786376953
CANFINHOME,1.0,758.7999877929688,758.7999877929688
CAPLIPOINT,1.0,1450.0,1450.0
CARBORUNIV,1.0,1134.0,1134.0
CASTROLIND,1.0,197.10000610351562,197.10000610351562
CCL,1.0,634.5499877929688,634.5499877929688
CDSL,1.0,1040.9000244140625,1040.9000244140625
CEATLTD,10.0,2622.35009765625,262.235009765625
CENTRALBK,1.0,44.25,44.25
CENTURYPLY,1.0,707.75,707.75
CERA,10.0,7167.4501953125,716.74501953125
CESC,1.0,140.25,140.25
CGCL,1.0,214.5500030517578,214.5500030517578
CGPOWER,1.0,580.3499755859375,580.3499755859375
CHALET,1.0,789.0499877929688,789.0499877929688
CHAMBLFERT,1.0,405.70001220703125,405.70001220703125
CHENNPETRO,1.0,631.9500122070312,631.9500122070312
CHOICEIN,1.0,342.3500061035156,342.3500061035156
CHOLAFIN,1.0,1246.9000244140625,1246.9000244140625
CHOLAHLDNG,1.0,1166.6500244140625,1166.6500244140625
CIPLA,1.0,1449.4000244140625,1449.4000244140625
CLEAN,1.0,1400.5,1400.5
COALINDIA,1.0,384.25,384.25
COCHINSHIP,1.0,1295.699951171875,1295.699951171875
COFORGE,1.0,1223.050048828125,1223.050048828125
COHANCE,1.0,986.0499877929688,986.0499877929688
COLPAL,10.0,2423.300048828125,242.3300048828125
CONCOR,1.0,690.0,690.0
CONCORDBIO,1.0,1613.2000122070312,1613.2000122070312
COROMANDEL,1.0,1263.199951171875,1263.199951171875
CRAFTSMAN,10.0,4791.5498046875,479.15498046875
CREDITACC,1.0,1253.6500244140625,1253.6500244140625
CRISIL,10.0,4355.14990234375,435.514990234375
CROMPTON,1.0,324.04998779296875,324.04998779296875
CUB,1.0,157.14999389648438,157.14999389648438
CUMMINSIND,10.0,2873.35009765625,287.335009765625
CYIENT,1.0,1561.75,1561.75
DABUR,1.0,535.2999877929688,535.2999877929688
DALBHARAT,10.0,1954.800048828125,195.4800048828125
DATAPATTNS,10.0,2202.300048828125,220.2300048828125
DBREALTY,1.0,174.13999938964844,174.13999938964844
DCMSHRIRAM,1.0,1012.8499755859375,1012.8499755859375
DEEPAKFERT,1.0,687.9000244140625,687.9000244140625
DEEPAKNTR,10.0,2112.0,211.2
DELHIVERY,1.0,390.45001220703125,390.45001220703125
DEVYANI,1.0,173.3800048828125,173.3800048828125
DIVISLAB,10.0,4255.25,425.525
DIXON,10.0,9238.7001953125,923.87001953125
DLF,1.0,747.4000244140625,747.4000244140625
DMART,10.0,3922.300048828125,392.2300048828125
DOMS,10.0,2468.300048828125,246.8300048828125
DRREDDY,1.0,1194.5,1194.5
ECLERX,10.0,2497.5,249.75
EICHERMOT,10.0,4653.89990234375,465.389990234375
EIDPARRY,1.0,647.7000122070312,647.7000122070312
EIHOTEL,1.0,363.8500061035156,363.8500061035156
ELECON,1.0,507.07501220703125,507.07501220703125
ELGIEQUIP,1.0,534.1500244140625,534.1500244140625
EMAMILTD,1.0,540.5,540.5
EMCURE,1.0,1352.625,1352.625
ENDURANCE,10.0,1939.5,193.95
ENGINERSIN,1.0,182.72000122070312,182.72000122070312
ENRIN,10.0,3176.699951171875,317.6699951171875
ERIS,1.0,933.0,933.0
ESCORTS,10.0,3212.449951171875,321.2449951171875
ETERNAL,1.0,194.125,194.125
EXIDEIND,1.0,360.95001220703125,360.95001220703125
FACT,1.0,761.5,761.5
FEDERALBNK,1.0,163.85000610351562,163.85000610351562
FINCABLES,1.0,968.4000244140625,968.4000244140625
FINPIPE,1.0,211.49000549316406,211.49000549316406
FIRSTCRY,1.0,390.1999969482422,390.1999969482422
FIVESTAR,1.0,707.25,707.25
FLUOROCHEM,10.0,3388.89990234375,338.889990234375
FORCEMOT,10.0,6820.474853515625,682.0474853515625
FORTIS,1.0,457.20001220703125,457.20001220703125
FSL,1.0,205.0500030517578,205.0500030517578
GAIL,1.0,175.83999633789062,175.83999633789062
GESHIP,1.0,947.0,947.0
GICRE,1.0,364.6000061035156,364.6000061035156
GILLETTE,10.0,7076.10009765625,707.610009765625
GLAND,1.0,1700.0999755859375,1700.0999755859375
GLAXO,10.0,2201.10009765625,220.110009765625
GLENMARK,1.0,1119.449951171875,1119.449951171875
GMDCLTD,1.0,355.3999938964844,355.3999938964844
GMRAIRPORT,1.0,79.1500015258789,79.1500015258789
GODFRYPHLP,1.0,1281.9666748046875,1281.9666748046875
GODIGIT,1.0,340.4250030517578,340.4250030517578
GODREJAGRO,1.0,561.8499755859375,561.8499755859375
GODREJCP,1.0,1156.5999755859375,1156.5999755859375
GODREJIND,1.0,845.1500244140625,845.1500244140625
GODREJPROP,10.0,2114.800048828125,211.4800048828125
GPIL,1.0,212.75999450683594,212.75999450683594
GRANULES,1.0,448.70001220703125,448.70001220703125
GRAPHITE,1.0,513.7999877929688,513.7999877929688
GRASIM,10.0,2372.60009765625,237.260009765625
GRAVITA,1.0,1125.8499755859375,1125.8499755859375
GRSE,1.0,1222.300048828125,1222.300048828125
GSPL,1.0,303.6499938964844,303.6499938964844
GUJGASLTD,1.0,476.45001220703125,476.45001220703125
GVT&D,1.0,1296.4000244140625,1296.4000244140625
HAL,10.0,3670.64990234375,367.064990234375
HAPPSTMNDS,1.0,809.4500122070312,809.4500122070312
HAVELLS,1.0,1500.5999755859375,1500.5999755859375
HBLENGINE,1.0,590.9500122070312,590.9500122070312
HCLTECH,1.0,1477.300048828125,1477.300048828125
HDFCAMC,10.0,1889.6500244140625,188.96500244140626
HDFCBANK,1.0,826.4500122070312,826.4500122070312
HDFCLIFE,1.0,635.8499755859375,635.8499755859375
HEG,1.0,398.2799987792969,398.2799987792969
HEROMOTOCO,10.0,4226.0,422.6
HEXT,1.0,754.0,754.0
HFCL,1.0,81.9000015258789,81.9000015258789
HINDALCO,1.0,603.0499877929688,603.0499877929688
HINDCOPPER,1.0,240.3699951171875,240.3699951171875
HINDPETRO,1.0,334.6000061035156,334.6000061035156
HINDUNILVR,10.0,2505.050048828125,250.5050048828125
HINDZINC,1.0,416.8500061035156,416.8500061035156
HOMEFIRST,1.0,969.9000244140625,969.9000244140625
HONASA,1.0,358.2749938964844,358.2749938964844
HONAUT,100.0,39223.30078125,392.2330078125
HSCL,1.0,373.95001220703125,373.95001220703125
HUDCO,1.0,201.0800018310547,201.0800018310547
HYUNDAI,10.0,1846.0249633789062,184.6024963378906
ICICIBANK,1.0,1123.800048828125,1123.800048828125
ICICIGI,1.0,1686.949951171875,1686.949951171875
ICICIPRULI,1.0,579.9500122070312,579.9500122070312
IDBI,1.0,79.41000366210938,79.41000366210938
IDEA,1.0,8.239999771118164,8.239999771118164
IDFCFIRSTB,1.0,72.44000244140625,72.44000244140625
IEX,1.0,153.10000610351562,153.10000610351562
IFCI,1.0,45.5,45.5
IGIL,1.0,372.79998779296875,372.79998779296875
IGL,1.0,216.125,216.125
IIFL,1.0,460.8500061035156,460.8500061035156
IKS,1.0,1586.2000122070312,1586.2000122070312
INDGN,1.0,576.2000122070312,576.2000122070312
INDHOTEL,1.0,589.2999877929688,589.2999877929688
INDIACEM,1.0,257.70001220703125,257.70001220703125
INDIAMART,10.0,2591.0,259.1
INDIANB,1.0,520.7000122070312,520.7000122070312
INDIGO,10.0,4019.199951171875,401.9199951171875
INDUSINDBK,1.0,1260.199951171875,1260.199951171875
INDUSTOWER,1.0,330.20001220703125,330.20001220703125
INFY,1.0,1522.050048828125,1522.050048828125
INOXINDIA,1.0,1168.7999877929688,1168.7999877929688
INOXWIND,1.0,142.14999389648438,142.14999389648438
INTELLECT,1.0,819.1500244140625,819.1500244140625
IOB,1.0,41.099998474121094,41.099998474121094
IOC,1.0,137.0399932861328,137.0399932861328
IPCALAB,1.0,1237.4000244140625,1237.4000244140625
IRB,1.0,46.0,46.0
IRCON,1.0,174.33999633789062,174.33999633789062
